,mean,std,min,max,median,missing
LifeExpectancy_Both,73.921387283237,7.064853586861572,54.8,85.8,74.8,0
LifeExpectancy_Female,76.48901734104047,7.168645039558445,55.1,88.4,78.0,0
LifeExpectancy_Male,76.48901734104047,7.168645039558445,55.1,88.4,78.0,0
UrbanPopulation_Percentage,57.83410404624277,23.695953043020204,0.0,98.8,60.2,0
UrbanPopulation_Absolute,26422342.76878613,89046071.87655951,0.0,956553854.0,5067678.0,0
PopulationDensity,136.16265060240963,145.5542456307145,2.0,657.0,86.0,0
GDP_per_capita_PPP,25374.49004971098,26028.91393297349,836.6656,137947.34,15921.705,0
TotalGDP,889352331458.715,3095183898278.805,391387777.1694,29108919292117.52,112857767960.964,0
LogGDPperCapita,4.158128401248529,0.5069717354713157,2.9225519130788147,5.139713330516837,4.201989572977212,0
Population,44279451.41040462,157543065.6833602,92316.0,1426437224.0,9707794.0,0
LogPopulation,6.926003380850528,0.8207261561168492,4.965276978485372,9.154252663570873,6.987120552001421,0
