LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,Country
66.5,68.1,68.1,26.7,11704638,67,Afghanistan
80.0,81.7,81.7,70.3,1948831,101,Albania
76.7,78.1,78.1,74.4,35291973,20,Algeria
65.0,67.5,67.5,68.8,26847887,31,Angola
77.9,80.6,80.6,28.5,26823,214,Antigua and Barbuda
77.7,80.2,80.2,96,44010474,17,Argentina
76.0,79.7,79.7,63.8,1882155,104,Armenia
76.6,79.1,79.1,44.7,48340,601,Aruba
84.2,86.0,86.0,86.5,23335357,4,Australia
82.3,84.6,84.6,58.6,5337973,111,Austria
